seed 4f46adc760541d68
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.550014 0.379084 0.008735
2.566636 0.315311 0.002269
2.582465 0.301919 0.004812
2.604003 0.344344 0.007682
2.615783 0.342207 0.004731
2.632515 0.350092 0.006537
2.649199 0.346382 0.005414
2.665766 0.329272 0.004316
2.682383 0.337109 0.006123
2.699240 0.337109 0.000000
2.716206 0.327658 0.011594
2.732642 0.321658 0.004631
2.749169 0.309434 0.004932
2.765779 0.336047 0.006133
2.782498 0.342637 0.006539
2.799138 0.342674 0.004806
2.817153 0.339842 0.005365
2.832470 0.317299 0.004451
2.851713 0.348870 0.007238
2.865836 0.333676 0.004827
2.884858 0.329614 0.005414
2.899014 0.325311 0.005343
2.916910 0.325125 0.005516
2.932320 0.323433 0.005440
2.948989 0.323981 0.005497
2.965791 0.350731 0.007170
2.982497 0.307414 0.003110
2.999009 0.292555 0.005543
3.015862 0.315714 0.005644
3.032451 0.318290 0.006071
3.049019 0.347687 0.005845
3.065821 0.334199 0.004494
3.082344 0.342102 0.005844
3.101245 0.343755 0.005589
3.115726 0.347138 0.005700
3.134908 0.355385 0.006066
3.148964 0.343585 0.005043
3.165709 0.340356 0.005595
3.182681 0.321521 0.004766
3.200285 0.299338 0.006586
3.216835 0.391385 0.005745
3.232491 0.424740 0.006291
3.249008 0.408372 0.004319
3.265406 0.409973 0.005860
3.282587 0.384626 0.004843
3.299029 0.356894 0.004829
3.315936 0.358816 0.006356
3.332107 0.381442 0.007544
3.350043 0.319878 0.003071
