seed 0625df82b164592b
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
1.566254 0.320255 0.006297
1.582820 0.336503 0.006555
1.603141 0.346805 0.006345
1.616160 0.325660 0.003307
1.632892 0.340874 0.006692
1.649216 0.337890 0.005109
1.666058 0.342428 0.006108
1.682618 0.341620 0.005329
1.704261 0.336627 0.005398
1.717036 0.317795 0.004691
1.736897 0.314295 0.005696
1.749188 0.326470 0.006625
1.769350 0.338104 0.005514
1.782909 0.369443 0.007661
1.799533 0.367569 0.004700
1.816221 0.360975 0.004979
1.832852 0.339061 0.004269
1.849496 0.335457 0.006184
1.866137 0.333669 0.006029
1.882844 0.342154 0.006478
1.899457 0.314507 0.003471
1.916106 0.315980 0.006243
1.932882 0.302975 0.004660
1.949476 0.312629 0.006500
1.966097 0.332855 0.006710
1.982857 0.335007 0.005042
1.999435 0.338758 0.005498
2.015874 0.323598 0.004713
2.032562 0.329259 0.005242
2.049269 0.348399 0.006744
2.066099 0.364592 0.006367
2.082473 0.341654 0.003524
2.100921 0.336849 0.005710
2.116153 0.349832 0.006973
2.132859 0.343261 0.005116
2.149520 0.362149 0.007204
2.166275 0.343620 0.004059
2.182814 0.324813 0.004571
2.199567 0.320844 0.006138
2.216166 0.319239 0.005729
2.232812 0.304932 0.004660
2.249547 0.329501 0.007468
2.266171 0.305837 0.003364
2.282775 0.322843 0.006882
2.299408 0.321034 0.004953
2.316174 0.330534 0.005983
2.332814 0.352303 0.006782
2.349373 0.331598 0.003373
2.366157 0.332071 0.005932
2.382772 0.338197 0.006095
2.399417 0.351105 0.006498
2.416097 0.336497 0.004230
2.432848 0.336497 0.000000
2.449355 0.340317 0.012651
2.466299 0.322114 0.004382
2.482763 0.327649 0.006489
2.499383 0.328477 0.005613
2.515974 0.307030 0.003923
2.532594 0.307030 0.000000
2.552851 0.285069 0.006030
2.565674 0.294821 0.011305
2.582403 0.311220 0.006384
2.599051 0.301103 0.004042
2.615760 0.322193 0.006764
2.636127 0.332915 0.005583
2.649287 0.351842 0.006251
2.665662 0.366762 0.006015
2.682402 0.367121 0.005133
2.699014 0.341229 0.003630
2.719907 0.343056 0.006499
2.732283 0.343512 0.006051
2.749128 0.343213 0.005795
2.765628 0.329358 0.004816
2.782411 0.316818 0.004947
2.799294 0.304367 0.004991
2.815776 0.334109 0.008146
2.832458 0.334587 0.004975
2.849121 0.346383 0.006140
2.865646 0.307315 0.002439
2.882370 0.318194 0.007085
2.898850 0.348663 0.007756
2.915746 0.338884 0.004187
2.932257 0.334848 0.005182
2.948968 0.318656 0.004473
2.965617 0.334905 0.007192
2.982383 0.335404 0.005417
2.998863 0.338728 0.005644
3.015713 0.343188 0.005942
3.032230 0.318541 0.003574
