seed 70a266fb88669f73
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
2.232825 0.622329 0.021091
2.266229 0.616758 0.020628
2.299539 0.572412 0.019146
2.332934 0.597877 0.020756
2.366388 0.556297 0.018123
2.399558 0.591558 0.020316
2.432777 0.624523 0.020137
2.466244 0.552206 0.017919
2.499608 0.583935 0.020693
2.533115 0.603801 0.019713
2.566174 0.551270 0.017930
2.599663 0.595532 0.020799
2.632839 0.603454 0.019320
2.666393 0.496540 0.016485
2.699537 0.585237 0.021163
2.732848 0.666390 0.020694
2.766442 0.612512 0.019202
2.799515 0.575659 0.019914
2.832607 0.558911 0.019093
2.865938 0.598247 0.020222
2.899314 0.662010 0.021420
2.932670 0.628451 0.019889
2.965908 0.563488 0.019292
2.999279 0.609479 0.021391
3.032585 0.621985 0.019976
3.065860 0.560773 0.018439
3.099175 0.593732 0.020804
3.132574 0.596474 0.019375
3.165917 0.562796 0.018725
3.199294 0.505373 0.017432
3.232491 0.606319 0.021072
3.265729 0.625853 0.019132
3.299155 0.634895 0.020868
3.332509 0.529872 0.017551
3.366059 0.594138 0.021689
3.399235 0.598347 0.018796
3.432632 0.663664 0.022094
3.466036 0.595796 0.018810
3.499131 0.591157 0.020677
3.532567 0.580165 0.019474
3.565969 0.621379 0.020917
3.601331 0.582398 0.019838
3.632448 0.565334 0.018060
3.665773 0.599022 0.020275
3.699075 0.606512 0.019595
3.732553 0.553382 0.018272
3.765817 0.601115 0.020892
3.799076 0.665197 0.021293
3.832503 1.622805 0.044178
3.865802 1.367142 0.023135
3.899025 0.476315 0.017442
3.932435 1.824567 0.044337
3.965732 1.003441 0.018453
3.999030 2.065868 0.045987
4.032321 2.474923 0.028657
4.065726 0.584094 0.016734
4.099059 1.430984 0.019243
4.132311 0.987474 0.017747
4.165614 0.769798 0.020911
4.199016 1.151059 0.021203
4.232346 0.670707 0.019327
4.265635 0.597501 0.017147
4.299095 0.605903 0.019049
4.332248 0.567030 0.018187
4.364586 0.718349 0.019875
4.398022 0.661942 0.019970
4.431095 0.555868 0.018572
4.464542 0.539849 0.019292
4.498939 0.552978 0.018734
4.532272 0.574896 0.019296
4.565560 0.599520 0.019604
4.598952 0.538901 0.017533
4.632171 0.510817 0.018048
4.665507 0.555072 0.019001
4.698834 0.553691 0.017682
4.732057 0.543919 0.018098
4.765522 0.570324 0.019204
4.799000 0.557763 0.018080
4.832159 0.514247 0.017409
4.865476 0.538591 0.018644
4.898820 0.569381 0.018547
4.932265 0.573855 0.018652
4.965450 0.577226 0.019173
4.998795 0.570399 0.018891
5.032123 0.542190 0.018196

Speed: 50
0.033335 0.008229 0.000043
0.066732 0.040452 0.000863
0.100023 0.012740 0.000464
0.133266 0.059355 0.001526
0.166631 0.142609 0.003915
0.199944 0.282188 0.007990
0.233388 0.513563 0.014828
0.266577 0.666162 0.018311
0.299937 0.679148 0.020122
0.333458 0.631372 0.020893
0.366706 0.578789 0.020014
0.400074 0.636250 0.022108
0.433403 0.732729 0.023403
0.466700 0.764187 0.023846
0.499930 0.725374 0.023571
0.533239 0.655520 0.022483
0.566512 0.695042 0.024282
0.599879 0.743078 0.024145
0.633264 0.763903 0.024692
0.666499 0.747876 0.024516
0.699841 0.733652 0.024721
0.733196 0.661639 0.022308
0.766502 0.685433 0.024027
0.799799 0.751798 0.024635
0.833178 0.752992 0.024023
0.866439 0.694553 0.023082
0.899787 0.695797 0.024180
0.933145 0.703483 0.023446
0.966628 0.740770 0.024674
0.999754 0.773000 0.024999
1.033160 0.733179 0.023942
1.066455 0.711672 0.024356
1.099726 0.772595 0.026060
1.133126 0.723537 0.023091
1.166460 0.673800 0.023333
1.199682 0.663149 0.022799
1.233072 0.737609 0.024805
1.266413 0.787718 0.025023
1.299691 0.775846 0.024979
1.333026 0.710011 0.023868
1.366382 0.723047 0.025211
1.399685 0.747414 0.024673
1.433039 0.791728 0.026006
1.466328 0.756153 0.024429
1.499719 0.706633 0.024190
1.533035 0.722845 0.024898
