seed c89f0fe1a3525e51
Playbook: loading ../../gameplay/plays/test/kick_penalty.play
Playbook: loading ../../gameplay/plays/test/motion_challenge.play
Playbook: loading ../../gameplay/plays/test/their_kickoff.play
Playbook: loading ../../gameplay/plays/test/our_kickoff.play
Playbook: loading ../../gameplay/plays/test/test.play
Playbook: loading ../../gameplay/plays/test/defend_penalty.play
Playbook: loading ../../gameplay/plays/test/their_freekick.play
Playbook: loading ../../gameplay/plays/test/our_freekick.play
InputHandler Error: No such file or directory
Not using joystick controller
No controller: Auto/Running
Set trigger camera: 0
Switching to play "motion challenge"
Play "motion challenge" ended: completed 1/1
Speed: 0
0.016703 0.031273 0.000397
0.033390 0.108549 0.001751
0.050048 0.059651 0.001759
0.066764 0.067329 0.000295
0.083328 0.027170 0.000422
0.099898 0.032395 0.000203
0.116661 0.035832 0.000492
0.133257 0.175810 0.002911
0.149768 0.312497 0.004054
0.166641 0.428856 0.005945
0.183129 0.180513 0.002032
0.199775 0.065666 0.003156
0.216592 0.234640 0.004948
0.233185 0.384473 0.004970
0.249820 0.362609 0.004772
0.266522 0.449979 0.007666
0.283236 0.192788 0.002571
0.299802 0.090993 0.003734
0.316520 0.377397 0.007143
0.333170 0.482186 0.005713
0.349926 0.444444 0.006456
0.366445 0.270995 0.004774
0.383177 0.219430 0.005173
0.399740 0.355937 0.006254
0.416431 0.368644 0.005225
0.433161 0.309800 0.004874
0.449997 0.355823 0.006474
0.466377 0.204037 0.002833
0.483214 0.339831 0.006993
0.499797 0.346017 0.004549
0.516435 0.310218 0.005150
0.533050 0.372027 0.006503
0.549816 0.376907 0.005766
0.566446 0.308668 0.005073
0.583047 0.303476 0.005665
0.599765 0.232551 0.003911
0.616459 0.402359 0.007280
0.633065 0.339725 0.004236
0.649779 0.350779 0.006359
0.666403 0.269304 0.004379
0.683075 0.284284 0.005432
0.699738 0.392545 0.006399
0.716516 0.310650 0.004296
0.732961 0.384412 0.007176
0.749792 0.261316 0.003752
0.766365 0.335067 0.006445
0.783157 0.454118 0.006947
0.799632 0.292093 0.003912
0.816425 0.337154 0.006916
0.833030 0.222211 0.003349
0.849840 0.325000 0.006338
0.866301 0.386414 0.005564
0.883098 0.421100 0.006562
0.899555 0.420122 0.006641
0.916274 0.314557 0.005251
0.932885 0.286207 0.005663
0.949578 0.306855 0.005323
0.966186 0.300185 0.004802
0.983040 0.358076 0.006126
0.999527 0.372290 0.005735
1.016194 0.324449 0.005253
1.032940 0.415931 0.007371
1.049540 0.262451 0.003758
1.066133 0.322956 0.006587
1.083112 0.326559 0.004955
1.099590 0.374848 0.006055
1.116506 0.411901 0.006570
1.132828 0.250077 0.003683
1.149519 0.275255 0.005964
1.166134 0.296595 0.004681
1.182736 0.476468 0.007779
1.199470 0.327691 0.003980
1.216136 0.287821 0.005979
1.232753 0.347201 0.006159
1.249492 0.307275 0.004650
1.266101 0.344961 0.005993
1.282754 0.302760 0.004797
1.299490 0.338675 0.005861
1.316093 0.319836 0.005087
1.332710 0.359604 0.006125
1.349400 0.349561 0.005543
1.366119 0.287471 0.004818
1.382729 0.356260 0.006430
1.399347 0.297342 0.004405
1.416118 0.311443 0.005795
1.432740 0.349430 0.005654
1.449346 0.369565 0.005831
1.466086 0.361310 0.005926
1.482738 0.287533 0.004770
1.499364 0.314400 0.005775
1.516085 0.348930 0.005665
1.532772 0.336909 0.005461
1.549360 0.334203 0.005764
1.565981 0.394058 0.006720
1.582702 0.268487 0.004364
1.599312 0.276746 0.005340
1.615973 0.368833 0.005631
1.632816 0.412332 0.005967
1.649329 0.418818 0.006645
1.665943 0.224673 0.003875
1.682714 0.258706 0.005694
1.699341 0.223433 0.003463
1.715923 0.353044 0.006121
1.732689 0.530201 0.007741
1.749336 0.313612 0.003774
1.765988 0.260811 0.006106
1.782582 0.228154 0.004360
1.799326 0.403468 0.006852
1.815974 0.358541 0.004547
1.832596 0.289247 0.005137
1.849293 0.289429 0.005369
1.865948 0.323220 0.005419
1.882588 0.465674 0.007451
1.899339 0.349590 0.004638
1.915933 0.260036 0.005377
1.932562 0.325024 0.006198
1.949345 0.277438 0.003892
1.965959 0.394713 0.007183
1.982553 0.411243 0.005712
1.999156 0.329607 0.005356
2.015919 0.286306 0.005506
2.032553 0.411879 0.007234
2.049157 0.289000 0.003738
2.065887 0.194976 0.004907
2.082538 0.397864 0.006401
2.099166 0.442910 0.005441
2.115886 0.276419 0.004205
2.132525 0.324043 0.006791
2.149169 0.285049 0.004248
2.166001 0.379094 0.006729
2.182509 0.405208 0.005963
2.199136 0.290788 0.004618
2.215776 0.255886 0.005235
2.232537 0.343349 0.006074
2.249258 0.406756 0.005960
2.265768 0.247528 0.003766
2.282652 0.257614 0.005741
2.299145 0.413421 0.006587
2.315729 0.366662 0.004836
2.332488 0.367183 0.006593
2.349139 0.252410 0.004131
2.365780 0.274335 0.005616
2.382365 0.360737 0.005753
2.399104 0.363407 0.005395
2.415839 0.372036 0.006110
2.432384 0.321786 0.005260
2.449194 0.275298 0.005061
2.465727 0.324556 0.005947
2.482390 0.404568 0.006294
2.499118 0.370564 0.005571
2.515724 0.315154 0.005539
2.532345 0.196737 0.003872
2.549124 0.344425 0.006208
2.565742 0.467320 0.006445
2.582339 0.445137 0.006348
2.598950 0.261497 0.004520
2.615727 0.230634 0.005399
2.632373 0.295431 0.005185
